trial_type,run,onset,duration
scissors,0,12.0,24.0
face,0,48.0,24.0
cat,0,84.0,24.0
shoe,0,120.0,24.0
house,0,156.0,24.0
scrambledpix,0,192.0,24.0
bottle,0,228.0,24.0
chair,0,264.0,24.0
face,1,12.0,24.0
scrambledpix,1,48.0,24.0
scissors,1,84.0,24.0
shoe,1,120.0,24.0
bottle,1,156.0,24.0
cat,1,192.0,24.0
chair,1,228.0,24.0
house,1,264.0,24.0
face,2,12.0,24.0
chair,2,48.0,24.0
cat,2,84.0,24.0
house,2,120.0,24.0
scrambledpix,2,156.0,24.0
shoe,2,192.0,24.0
bottle,2,228.0,24.0
scissors,2,264.0,24.0
shoe,3,12.0,24.0
house,3,48.0,24.0
chair,3,84.0,24.0
cat,3,120.0,24.0
face,3,156.0,24.0
scrambledpix,3,192.0,24.0
bottle,3,228.0,24.0
scissors,3,264.0,24.0
face,4,12.0,24.0
cat,4,48.0,24.0
shoe,4,84.0,24.0
chair,4,120.0,24.0
scissors,4,156.0,24.0
bottle,4,192.0,24.0
house,4,228.0,24.0
scrambledpix,4,264.0,24.0
cat,5,12.0,24.0
scrambledpix,5,48.0,24.0
scissors,5,84.0,24.0
chair,5,120.0,24.0
bottle,5,156.0,24.0
shoe,5,192.0,24.0
face,5,228.0,24.0
house,5,264.0,24.0
house,6,12.0,24.0
scissors,6,48.0,24.0
bottle,6,84.0,24.0
face,6,120.0,24.0
chair,6,156.0,24.0
shoe,6,192.0,24.0
cat,6,228.0,24.0
scrambledpix,6,264.0,24.0
face,7,12.0,24.0
chair,7,48.0,24.0
scissors,7,84.0,24.0
shoe,7,120.0,24.0
scrambledpix,7,156.0,24.0
house,7,192.0,24.0
cat,7,228.0,24.0
bottle,7,264.0,24.0
face,8,12.0,24.0
cat,8,48.0,24.0
scrambledpix,8,84.0,24.0
house,8,120.0,24.0
scissors,8,156.0,24.0
chair,8,192.0,24.0
shoe,8,228.0,24.0
bottle,8,264.0,24.0
house,9,12.0,24.0
scrambledpix,9,48.0,24.0
face,9,84.0,24.0
shoe,9,120.0,24.0
chair,9,156.0,24.0
cat,9,192.0,24.0
bottle,9,228.0,24.0
scissors,9,264.0,24.0
cat,10,12.0,24.0
scrambledpix,10,48.0,24.0
chair,10,84.0,24.0
bottle,10,120.0,24.0
shoe,10,156.0,24.0
house,10,192.0,24.0
face,10,228.0,24.0
scissors,10,264.0,24.0
bottle,11,12.0,24.0
house,11,48.0,24.0
chair,11,84.0,24.0
scrambledpix,11,120.0,24.0
face,11,156.0,24.0
shoe,11,192.0,24.0
cat,11,228.0,24.0
scissors,11,264.0,24.0
